,Name,Count,isDead,age
0,Samuel L. Jackson,58,False,72
1,Robert De Niro,55,False,77
2,Morgan Freeman,46,False,83
3,Bruce Willis,42,False,65
4,Matt Damon,41,False,50
5,Steve Buscemi,37,False,63
6,Nicolas Cage,37,False,56
7,Brad Pitt,37,False,57
8,Alec Baldwin,37,False,62
9,Owen Wilson,36,False,52
10,Johnny Depp,36,False,57
11,Bill Murray,33,False,70
12,Ben Kingsley,33,False,77
13,Jim Broadbent,33,False,71
14,Will Ferrell,32,False,53
15,Anthony Hopkins,32,False,83
16,Ben Stiller,32,False,55
17,Robin Williams,32,True,63
18,Liam Neeson,32,False,68
19,Denzel Washington,31,False,66
20,Mark Wahlberg,31,False,49
21,George Clooney,31,False,59
22,Willem Dafoe,31,False,65
23,Christopher Plummer,31,False,91
24,Christopher Walken,31,False,77
25,Stanley Tucci,30,False,60
26,Tom Cruise,30,False,58
27,Woody Harrelson,30,False,59
28,Tom Hanks,30,False,64
29,John C. Reilly,30,False,55
30,Paul Giamatti,30,False,53
31,John Goodman,30,False,68
32,Richard Jenkins,30,False,73
33,Harrison Ford,29,False,78
34,Pierce Brosnan,29,False,67
35,Antonio Banderas,29,False,60
36,Brian Cox,29,False,74
37,Michael Caine,29,False,87
38,Laurence Fishburne,29,False,59
39,Philip Seymour Hoffman,29,True,47
40,Robert Downey Jr.,28,False,55
41,Sylvester Stallone,28,False,74
42,Ewan McGregor,28,False,49
43,Matthew McConaughey,28,False,51
44,Arnold Schwarzenegger,28,False,73
45,Eddie Murphy,28,False,59
46,Keith David,28,False,64
47,John Travolta,28,False,66
48,Robert Duvall,28,False,89
49,Ben Affleck,27,False,48
50,Tom Wilkinson,27,False,72
51,Ed Harris,27,False,70
52,Donald Sutherland,27,False,85
53,Adam Sandler,27,False,54
54,Gary Oldman,27,False,62
55,John Hurt,27,True,77
56,Brendan Gleeson,27,False,65
57,Justin Long,27,False,42
58,Gerard Butler,26,False,51
59,John Leguizamo,26,False,56
60,Danny Glover,26,False,74
61,Christian Bale,26,False,46
62,Keanu Reeves,26,False,56
63,Forest Whitaker,26,False,59
64,John Cusack,26,False,54
65,John Turturro,26,False,63
66,Mark Ruffalo,26,False,53
67,Sean Connery,26,False,90
68,William H. Macy,26,False,70
69,Dustin Hoffman,26,False,83
70,Steve Zahn,25,False,53
71,Kevin Costner,25,False,65
72,Luke Wilson,25,False,49
73,Jim Carrey,25,False,58
74,James Franco,25,False,42
75,Jack Black,25,False,51
76,Bill Nighy,25,False,71
77,Jason Statham,25,False,53
78,Ralph Fiennes,25,False,58
79,Jude Law,25,False,48
80,Paul Rudd,25,False,51
81,Hugh Jackman,24,False,52
82,Jamie Foxx,24,False,53
83,Dennis Quaid,24,False,66
84,Luis Guzmán,24,False,64
85,John Malkovich,24,False,67
86,Gene Hackman,24,False,90
87,Elias Koteas,24,False,59
88,Russell Crowe,24,False,56
89,Seth Rogen,24,False,38
90,J.K. Simmons,24,False,65
91,Danny DeVito,23,False,76
92,Will Smith,23,False,52
93,Jason Bateman,23,False,51
94,Bill Hader,23,False,42
95,Jeff Bridges,23,False,71
96,Bruce Greenwood,23,False,64
97,Val Kilmer,23,False,61
98,Kevin Bacon,23,False,62
99,Tommy Lee Jones,23,False,74
100,Al Pacino,23,False,80
101,Dan Aykroyd,23,False,68
102,Terrence Howard,23,False,51
103,Channing Tatum,23,False,40
104,Mel Gibson,23,False,64
105,James Marsden,23,False,47
106,Kevin Spacey,23,False,61
107,Vince Vaughn,23,False,50
108,Don Cheadle,22,False,56
109,Robert Patrick,22,False,62
110,James Cromwell,22,False,80
111,Ron Perlman,22,False,70
112,Ciarán Hinds,22,False,67
113,Steve Carell,22,False,58
114,Eugene Levy,22,False,74
115,Ving Rhames,22,False,61
116,David Koechner,22,False,58
117,Alan Arkin,22,False,86
118,Jonah Hill,22,False,37
119,Leonardo DiCaprio,22,False,46
120,Michael Shannon,22,False,77
121,Dwayne Johnson,22,False,48
122,Jeffrey Wright,22,False,55
123,Jon Voight,22,False,82
124,Ice Cube,21,False,51
125,Edward Norton,21,False,51
126,Geoffrey Rush,21,False,69
127,Alfred Molina,21,False,67
128,Stellan Skarsgård,21,False,69
129,Paul Bettany,21,False,49
130,Anthony Mackie,21,False,42
131,Bill Paxton,21,True,62
132,Giovanni Ribisi,21,False,46
133,Viggo Mortensen,21,False,62
134,Ethan Hawke,21,False,50
135,Morris Chestnut,21,False,51
136,Billy Bob Thornton,21,False,65
137,Anthony Anderson,21,False,50
138,Greg Kinnear,21,False,57
139,Sean Penn,21,False,60
140,Josh Brolin,21,False,52
141,Colin Farrell,21,False,44
142,Jeff Daniels,21,False,65
143,Peter Stormare,21,False,67
144,Jake Gyllenhaal,21,False,40
145,Dermot Mulroney,20,False,57
146,Ryan Reynolds,20,False,44
147,Mickey Rourke,20,False,68
148,Bradley Cooper,20,False,45
149,Cuba Gooding Jr.,20,False,52
150,Ray Winstone,20,False,63
151,Sam Rockwell,20,False,52
152,Chris Rock,20,False,55
153,Richard Gere,20,False,71
154,Casey Affleck,20,False,45
155,Sean Bean,20,False,61
156,Jackie Chan,20,False,66
157,Aaron Eckhart,20,False,52
158,Jason Lee,20,False,50
159,Colin Firth,20,False,60
160,Cedric the Entertainer,20,False,56
161,Kevin Kline,20,False,73
162,Ray Liotta,20,False,66
163,James Woods,20,False,73
164,Nick Nolte,20,False,79
165,Seth Green,20,False,46
166,Michael Gambon,20,False,80
167,Benicio del Toro,20,False,53
168,Sam Shepard,20,True,74
169,Bill Pullman,19,False,67
170,David Morse,19,False,67
171,Michael Clarke Duncan,19,True,55
172,Philip Baker Hall,19,False,89
173,Steve Martin,19,False,75
174,Tim Blake Nelson,19,False,56
175,Chris Cooper,19,False,69
176,Elijah Wood,19,False,39
177,Stephen Root,19,False,69
178,Kevin Pollak,19,False,63
179,Harvey Keitel,19,False,81
180,Dennis Hopper,19,True,74
181,Vincent D'Onofrio,19,False,61
182,Bob Hoskins,19,True,72
183,Oliver Platt,18,False,60
184,Andy García,18,False,63
185,Peter Sarsgaard,18,False,49
186,Jeff Goldblum,18,False,68
187,David Cross,18,True,57
188,Dan Hedaya,18,False,80
189,Jeffrey Tambor,18,False,76
190,Delroy Lindo,18,False,68
191,Benjamin Bratt,18,False,57
192,Kurt Russell,18,False,69
193,William Fichtner,18,False,64
194,Idris Elba,18,False,48
195,Danny Trejo,18,False,76
196,Michael Peña,18,False,44
197,Vin Diesel,18,False,53
198,Anton Yelchin,18,True,27
199,Michael Douglas,18,False,76
200,Patrick Wilson,18,False,47
201,John Heard,18,True,71
202,James Caan,18,False,80
203,Kris Kristofferson,18,False,84
204,Kiefer Sutherland,18,False,54
205,Joaquin Phoenix,18,False,46
206,Cary Elwes,18,False,58
207,Hugh Grant,18,False,60
208,Liev Schreiber,18,False,53
209,Brendan Fraser,18,False,52
210,Joseph Gordon-Levitt,18,False,39
211,Jon Favreau,18,False,54
212,Mark Strong,18,True,69
213,William Hurt,18,False,70
214,Matthew Broderick,18,False,58
215,Thomas Haden Church,18,False,60
216,Jack Nicholson,17,False,83
217,Gabriel Byrne,17,False,70
218,James Remar,17,False,67
219,Patrick Stewart,17,False,80
220,Paul Walker,17,True,40
221,Toby Jones,17,False,54
222,Tim Robbins,17,False,62
223,David Thewlis,17,False,57
224,Hank Azaria,17,False,56
225,Wallace Shawn,17,False,77
226,Michael Keaton,17,False,69
227,Michael Rapaport,17,False,50
228,David Paymer,17,False,66
229,Ian McKellen,17,False,81
230,Tim Roth,17,False,59
231,Simon Pegg,17,False,50
232,John C. McGinley,17,False,61
233,Michael Fassbender,17,False,43
234,Martin Sheen,17,False,80
235,Scott Glenn,17,False,81
236,Sam Neill,17,False,73
237,Will Arnett,17,False,50
238,Chris Evans,17,False,54
239,Daniel Craig,17,False,52
240,Seann William Scott,17,False,44
241,Will Patton,17,False,66
242,Barry Pepper,16,False,50
243,Timothy Olyphant,16,False,52
244,Jean Reno,16,False,72
245,Bruce McGill,16,False,70
246,Ben Foster,16,False,40
247,Clint Eastwood,16,False,90
248,Guy Pearce,16,False,53
249,Josh Hartnett,16,False,42
250,Matthew Lillard,16,False,50
251,Ian Holm,16,True,89
252,Danny Huston,16,False,58
253,Djimon Hounsou,16,False,56
254,Jeremy Piven,16,False,55
255,Max von Sydow,16,True,91
256,Terence Stamp,16,False,82
257,Shia LaBeouf,16,False,34
258,Tony Shalhoub,16,False,67
259,Kevin Hart,16,False,41
260,Jeremy Renner,16,False,49
261,Charles Dance,16,False,74
262,Martin Lawrence,16,False,55
263,Ryan Gosling,16,False,40
264,Jesse Eisenberg,16,False,37
265,Bernie Mac,16,True,51
266,Michael Rooker,15,False,65
267,Michael Madsen,15,False,63
268,Thomas Jane,15,False,51
269,Jon Lovitz,15,False,63
270,John Michael Higgins,15,False,57
271,James Rebhorn,15,True,66
272,John Lithgow,15,False,75
273,Alan Rickman,15,True,70
274,James Gandolfini,15,True,52
275,Richard Schiff,15,False,65
276,Christopher Lloyd,15,False,82
277,Ken Jeong,15,False,51
278,Robbie Coltrane,15,False,70
279,Chiwetel Ejiofor,15,False,43
280,Cillian Murphy,15,False,44
281,Larry Miller,15,False,67
282,Jason Flemyng,15,False,54
283,Dylan Baker,15,False,61
284,Oscar Isaac,15,False,41
285,Michael Sheen,15,False,51
286,Christian Slater,15,False,51
287,Adrien Brody,15,False,47
288,Cliff Curtis,15,False,52
289,Adam Scott,15,False,47
290,Martin Landau,15,True,89
291,John Carroll Lynch,15,False,57
292,Rhys Ifans,15,False,53
293,Mike Epps,15,False,50
294,Malcolm McDowell,15,False,77
295,Andy Serkis,15,False,56
296,Woody Allen,15,False,85
297,Sam Elliott,15,False,76
298,Karl Urban,15,False,48
299,Tom Hardy,14,False,43
